Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_65.02,GS1_65,11.2,13.1263232181,26.7624564323,10
GS1_65.03,GS1_65,10.5,12,25.1965867405,10
GS1_65.04,GS1_65,10.2,12.2081387592,24.6305191714,10
GS1_65.05,GS1_65,10.7,11.6164720344,26.8824446464,10
GS1_65.06,GS1_65,10.6,12.0576671035,22.9485778018,10
GS1_66.01,GS1_66,11.4,14.2007926024,28.891809764,8
GS1_66.02,GS1_66,11.6,13.7862796834,25.0847330798,8
GS1_66.03,GS1_66,14.5,17.2268907563,28.2431424687,8
GS1_66.04,GS1_66,12.6,15.0614091791,28.1507969276,8
GS1_66.05,GS1_66,12,14.9185667752,25.2348626928,8
GS1_66.06,GS1_66,13.1,16.411238825,27.3915622007,8
GS1_67.01,GS1_67,12.4,14.0977443609,29.517751963,11
GS1_67.02,GS1_67,13.2,14.629258517,31.0607446416,11
GS1_67.03,GS1_67,13,14.5220588235,31.0164245874,11
GS1_67.04,GS1_67,12.3,13.868065967,28.0782515238,11
GS1_67.05,GS1_67,11.1,14.3049026192,29.4108533461,11
GS1_67.06,GS1_67,11.8,13.5636596289,28.5046239674,11
GS1_68.01,GS1_68,12.1,17.5920149719,29.8767021725,13
GS1_68.02,GS1_68,13.4,16.7660702452,29.5045345177,13
GS1_68.03,GS1_68,12.3,14.2947903431,28.7949256816,13
GS1_68.04,GS1_68,10.6,14.2764857881,29.3610767424,13
GS1_68.05,GS1_68,12.2,15.2431011827,29.0204638314,13
GS1_69.01,GS1_69,13.8,16.8495803744,33.0666864715,10
GS1_69.02,GS1_69,13.9,16.9432918396,32.7342300318,10
GS1_69.03,GS1_69,13.9,16.6783461808,33.5286391302,10
GS1_69.04,GS1_69,12.6,16.8395363026,33.4552022307,10
GS1_69.05,GS1_69,14.2,17.5130208333,36.0429656722,10
GS1_69.06,GS1_69,14.5,18.2104599874,34.3166475421,10
GS1_70.01,GS1_70,11.2,13.4864546525,26.0430358938,4
GS1_70.02,GS1_70,11.1,14.7058823529,25.024787914,4
