FruitID,Weight,Length,Width,X,Y,Z,CWD_date,FruitID,Brix,Brix_date,FruitID,DM,DM_date
GS1_105.02,982.5,18,11,45.144,37.726,4.217,1,GS1_105.02,11.1,1,GS1_105.02,12.1883656509695,1
GS1_105.03,930.1,17,10.5,46.49,39.49,4.698,1,GS1_105.03,12.9,1,GS1_105.03,16.7464114832536,1
GS1_105.04,987.6,18.5,11,46.322,38.847,4.765,1,GS1_105.04,13.3,1,GS1_105.04,15.5161078238001,1
GS1_105.05,868.8,18.5,10,47.535,39.021,5.084,1,GS1_105.05,13.6,1,GS1_105.05,16.3448275862069,1
GS1_105.06,1021.5,19.5,10,47.373,40.058,4.938,1,GS1_105.06,11.7,1,GS1_105.06,14.1963727329581,1
GS1_106.01,1129.5,17.5,12,54.672,48.339,7.478,4,GS1_106.01,11.1,6,GS1_106.01,13.6427566807314,4
GS1_106.02,972.8,17,11,50.485,44.465,6.289,4,GS1_106.02,10.8,4,GS1_106.02,13.0347593582888,4
GS1_106.03,1092.9,16,12,54.349,47.898,6.987,4,GS1_106.03,8.5,4,GS1_106.03,12.2762148337596,4
GS1_106.04,1030.6,15.5,11.5,56.474,50.132,9.821,4,GS1_106.04,11.1,4,GS1_106.04,11.9237861094038,4
GS1_107.01,637.9,16.5,9,50.72,44.284,6.692,2,GS1_107.01,12.6,2,GS1_107.01,13.7362637362637,2
GS1_107.02,745.2,17.5,10,51.668,44.787,6.315,2,GS1_107.02,10.4,2,GS1_107.02,11.9242902208202,2
GS1_107.03,1082.5,18.5,10.5,52.47,45.633,7.494,2,GS1_107.03,9.9,2,GS1_107.03,10.627719080174,2
GS1_107.04,682.7,17,9,48.3,40.627,4.378,2,GS1_107.04,10.8,2,GS1_107.04,13.6194029850746,2
GS1_107.05,781.7,15,10.5,51.132,45.247,6.905,2,GS1_107.05,11.2,2,GS1_107.05,11.8339100346021,2
GS1_107.06,731.3,18,9.5,49.787,43.032,5.824,2,GS1_107.06,10.3,2,GS1_107.06,11.3268608414239,2
GS1_108.01,404.3,13,8.5,44.753,37.172,4.211,4,GS1_108.01,9.8,4,GS1_108.01,14.9152542372881,4
GS1_108.02,503.9,14,9,44.444,36.868,4.016,4,GS1_108.02,11.7,4,GS1_108.02,13.4707903780069,4
GS1_108.03,541.7,13.5,9,46.894,39.25,4.197,4,GS1_108.03,11.4,4,GS1_108.03,15.2287581699346,4
GS1_108.04,738,14,9.5,48.186,39.859,4.495,4,GS1_108.04,11.8,6,GS1_108.04,15.6154317207593,4
GS1_108.05,725.2,16.5,9,45.952,37.497,4.528,4,GS1_108.05,9.3,4,GS1_108.05,14.8097826086957,4
GS1_108.06,397.1,12,8,44.915,37.109,4.303,4,GS1_108.06,12.5,6,GS1_108.06,14.2953020134228,4
GS1_109.01,794.8,17,9,49.48,41.262,5.548,12,GS1_109.01,12.6,10,GS1_109.01,16.4112388250319,12
GS1_109.02,650.2,16.5,9,49.946,43.231,6.4,12,GS1_109.02,11.3,10,GS1_109.02,13.2450331125828,12
GS1_109.03,490.4,15,8,50.994,44.572,6.911,12,GS1_109.03,10.9,10,GS1_109.03,12.3251165889407,12
GS1_109.04,418.8,13.5,8.5,50.174,43.391,5.717,12,GS1_109.04,11.6,10,GS1_109.04,13.046357615894,12
GS1_109.05,652.5,16,9.5,50.024,42.077,6.115,12,GS1_109.05,13.3,10,GS1_109.05,14.626075446724,12
GS1_109.06,310,12,7.5,48.181,41.555,5.572,12,GS1_109.06,9.7,10,GS1_109.06,11.8871725990598,12
GS1_11.01,747.4,17,9.5,49.745,41.423,4.726,8,GS1_11.01,12.9,7,GS1_11.01,15.6037991858887,8
GS1_11.02,759.6,17.5,10,48.541,41.275,4.965,8,GS1_11.02,12.4,7,GS1_11.02,15.4806491885144,8
GS1_11.03,785.8,21,10,49.662,41.593,4.846,8,GS1_11.03,11.5,7,GS1_11.03,14.7574123989218,8
GS1_11.04,603.7,18.5,9,50.729,41.962,4.455,8,GS1_11.04,12.6,7,GS1_11.04,17.0998632010944,8
GS1_11.05,754.8,17.5,10.5,48.745,40.974,4.599,8,GS1_11.05,10.5,7,GS1_11.05,15.1797603195739,8
GS1_11.06,591.7,16,9,51.297,44.553,5.557,8,GS1_11.06,13.2,7,GS1_11.06,16.3649025069638,8
GS1_110.01,937.3,16.5,10.5,51.68,45.475,6.354,9,GS1_110.01,10.4,10,GS1_110.01,13.2793017456359,9
GS1_110.02,1237.8,17.5,11.5,52.447,45.855,6.419,9,GS1_110.02,11.9,10,GS1_110.02,14.1268803139307,9
GS1_110.03,824.5,16,11,49.177,42.64,5.402,9,GS1_110.03,11.3,10,GS1_110.03,15.7790927021696,9
GS1_110.04,1098.5,16.5,11.5,55.35,49.34,9.547,9,GS1_110.04,9.1,10,GS1_110.04,10.4262295081967,9
GS1_110.05,1253,18.5,11,51.981,44.926,5.469,9,GS1_110.05,10.3,10,GS1_110.05,12.6174496644295,9
GS1_110.06,1230.3,18.5,11,53.732,46.698,6.241,9,GS1_110.06,12.3,10,GS1_110.06,16.1558109833972,9
GS1_111.01,1008.7,18.5,10.5,58.419,50.954,9.477,5,GS1_111.01,11.2,5,GS1_111.01,13.1228070175439,5
GS1_111.02,514.6,14.5,9.5,55.797,48.831,9.098,5,GS1_111.02,11.8,5,GS1_111.02,13.3995037220844,5
GS1_111.03,707.2,17,9,60.359,54.65,13.142,5,GS1_111.03,11.4,5,GS1_111.03,12.5566343042071,5
GS1_111.04,616.7,15.5,9.5,56.106,51.413,13.266,5,GS1_111.04,10.3,5,GS1_111.04,11.9641714651312,5
GS1_111.05,723.3,16.5,9,60.944,55.193,12.557,5,GS1_111.05,11.2,5,GS1_111.05,14.4832126398947,5
GS1_111.06,407.1,13.5,8.5,57.644,51.244,11,5,GS1_111.06,11.1,5,GS1_111.06,13.9645776566757,5
GS1_112.01,782.5,15.5,10,49.643,42.996,5.372,1,GS1_112.01,9.9,1,GS1_112.01,13.7909709338281,1
GS1_112.02,797.3,15.5,10.5,49.183,42.65,5.9,1,GS1_112.02,10.6,1,GS1_112.02,13.5135135135135,1
GS1_112.03,760.9,15.5,9.5,46.893,40.515,4.91,1,GS1_112.03,10.3,1,GS1_112.03,13.1561892417369,1
GS1_112.04,713.5,16,9,45.465,38.351,4.409,1,GS1_112.04,11.5,1,GS1_112.04,14.8765432098765,1
GS1_112.05,507.1,12,8.5,49.944,43.472,5.738,1,GS1_112.05,10.8,1,GS1_112.05,13.8297872340426,1
GS1_112.06,667.4,15.5,9,46.389,40.104,5.287,1,GS1_112.06,10.8,1,GS1_112.06,13.0847029077118,1
GS1_113.01,402,11.5,8.5,48.61,40.79,4.748,2,GS1_113.01,13.2,2,GS1_113.01,15.9903089036947,2
GS1_113.02,607.7,17.5,9,44.343,35.346,4.052,2,GS1_113.02,9.6,2,GS1_113.02,16.0054719562244,2
GS1_113.03,594.4,15.5,9,52.032,43.64,5.113,2,GS1_113.03,10.8,2,GS1_113.03,16.0073037127206,2
GS1_113.04,526.4,13.5,9.5,50.592,42.204,5.04,2,GS1_113.04,12.7,2,GS1_113.04,15.3121319199058,2
GS1_113.05,610,15,9.5,51.729,43.712,5.88,2,GS1_113.05,11.7,2,GS1_113.05,16.3291966035271,2
GS1_113.06,600.5,15,9.5,50.352,41.395,5.06,2,GS1_113.06,8.9,2,GS1_113.06,15.8895705521472,2
GS1_114.01,654.7,14.5,9.5,47.299,38.985,4.047,12,GS1_114.01,11.9,10,GS1_114.01,14.4010767160162,12
GS1_114.02,673.1,14.5,9,48.432,40.621,5.081,12,GS1_114.02,12.1,10,GS1_114.02,14.2118863049096,12
GS1_114.03,733.8,15,9.5,47.328,38.883,4.399,12,GS1_114.03,11.9,10,GS1_114.03,14.6825396825397,12
GS1_114.04,552.6,13.5,9,49.871,41,4.471,12,GS1_114.04,11.4,10,GS1_114.04,14.3041237113402,12
GS1_114.05,848.2,16,9.5,47.277,39.118,4.4,12,GS1_114.05,12,10,GS1_114.05,14.6830530401035,12
GS1_114.06,777.2,16,9.5,48.135,39.559,4.563,12,GS1_114.06,12,10,GS1_114.06,14.0093395597065,12
GS1_115.01,574.8,15.5,8.5,48.322,42.196,5.81,3,GS1_115.01,11.2,3,GS1_115.01,14.0052356020942,3
GS1_115.02,620.9,13.5,9,50.493,45.61,7.949,3,GS1_115.02,9.1,3,GS1_115.02,13.1614654002714,3
GS1_115.03,802.8,16.5,10,50.269,45.119,7.449,3,GS1_115.03,11,3,GS1_115.03,12.9931972789116,3
GS1_116.01,961.4,18,10.5,47.713,40.568,5.089,8,GS1_116.01,11.3,7,GS1_116.01,16.1434977578475,8
GS1_116.02,942.6,17.5,10.5,50.232,44.379,6.896,8,GS1_116.02,11.9,7,GS1_116.02,17.7922077922078,8
GS1_116.03,749.2,15,9.5,52.062,45.42,6.376,8,GS1_116.03,13.1,7,GS1_116.03,17.3974540311174,8
GS1_116.04,977.3,17,11,45.606,38.816,5.799,8,GS1_116.04,11.5,7,GS1_116.04,14.9025069637883,8
GS1_116.05,908.1,16,10,47.286,40.426,5.149,8,GS1_116.05,12.2,7,GS1_116.05,16.2775616083009,8
GS1_116.06,877.9,15,11,49.628,43.277,6.347,8,GS1_116.06,11.5,7,GS1_116.06,11.7647058823529,8
GS1_117.01,633.8,13.5,9.5,51.847,46.1,7.537,2,GS1_117.01,10.1,2,GS1_117.01,15.2749490835031,2
GS1_117.02,521.4,13.5,8,49.149,42.456,5.934,2,GS1_117.02,11.1,2,GS1_117.02,15.4639175257732,2
GS1_117.03,603.6,15,9,46.358,39.95,5.49,2,GS1_117.03,10.2,2,GS1_117.03,13.9401654996817,2
GS1_117.04,532,12,9,51.894,45.407,6.036,2,GS1_117.04,10.9,2,GS1_117.04,13.6671177266576,2
GS1_117.05,791,14,10,50.358,43.541,6.14,2,GS1_117.05,10.9,2,GS1_117.05,14.8502994011976,2
GS1_117.06,556,13.5,8.5,51.102,45.101,7.055,2,GS1_117.06,10.8,2,GS1_117.06,14.7223955084217,2
GS1_118.01,748.7,15.5,10,53.067,44.7,6.106,7,GS1_118.01,11.4,6,GS1_118.01,13.3826496301278,7
GS1_118.02,854.5,16.5,10,55.537,47.371,7.332,7,GS1_118.02,12.9,6,GS1_118.02,19.720989220038,7
GS1_118.03,773.4,14.5,10.5,53.524,44.854,7.99,7,GS1_118.03,11.4,6,GS1_118.03,16.0080375083724,7
GS1_118.04,844.6,16.5,10.5,50.54,41.531,5.838,7,GS1_118.04,9.5,6,GS1_118.04,13.3608815426997,7
GS1_118.05,672.8,16,9.5,47.351,39.625,4.628,7,GS1_118.05,12.9,6,GS1_118.05,16.3369495851946,7
GS1_118.06,585.5,13.5,9.5,51.517,43.118,5.276,7,GS1_118.06,11.8,6,GS1_118.06,13.1826741996234,7
GS1_119.01,527.7,14,9,52.033,43.806,7.659,7,GS1_119.01,8.9,6,GS1_119.01,17.1750663129973,7
GS1_119.02,667.7,16,10,50.503,42.94,7.375,7,GS1_119.02,11.7,6,GS1_119.02,15.4205607476636,7
GS1_119.03,525,15.5,8.5,50.892,42.624,6.637,7,GS1_119.03,11.2,6,GS1_119.03,13.5205747877204,7
GS1_119.04,541.1,14.5,9,49.723,41.199,5.457,7,GS1_119.04,11.8,6,GS1_119.04,15.4285714285714,7
GS1_119.05,585.7,14.5,9,53.478,45.663,8.037,7,GS1_119.05,12.1,6,GS1_119.05,17.5513092710545,7
GS1_119.06,521.2,15,9,49.887,41.621,6.483,7,GS1_119.06,12.1,6,GS1_119.06,14.4689950106914,7
GS1_12.01,880.9,21,10,50.684,42.965,4.934,3,GS1_12.01,12.8,3,GS1_12.01,19.1335740072202,3
GS1_12.02,695.1,18.5,9.5,53.244,46.173,6.059,3,GS1_12.02,11.8,3,GS1_12.02,18.5616438356164,3
GS1_12.03,762.3,20,9,51.594,43.531,5.473,3,GS1_12.03,6.1,3,GS1_12.03,15.5089820359281,3
GS1_12.04,750.8,18.5,9.5,46.857,38.534,4.5,3,GS1_12.04,8,3,GS1_12.04,9.87306064880113,3
GS1_12.05,658.9,16,9.5,51.637,44.286,5.405,3,GS1_12.05,8.8,3,GS1_12.05,17.8816199376947,3
GS1_12.06,487.7,14.5,9,50.009,42.661,6.005,3,GS1_12.06,10.3,3,GS1_12.06,15.974212034384,3
GS1_120.01,827.5,17,10.5,53.522,46.889,7.918,10,GS1_120.01,10.7,9,GS1_120.01,15.0919467343056,10
GS1_120.03,550.9,14.5,9,51.87,45.091,7.33,10,GS1_120.03,10.6,8,GS1_120.03,14.2147734326505,10
GS1_120.04,939.2,18.5,11,54.484,47.556,7.536,10,GS1_120.04,10.7,8,GS1_120.04,13.6059479553903,10
GS1_120.05,1094.7,19.5,11,51.712,44.859,7.225,10,GS1_120.05,11.6,8,GS1_120.05,13.3720930232558,10
GS1_120.06,767.4,15.5,10,54.168,47.027,8.249,10,GS1_120.06,11.6,8,GS1_120.06,14.9090909090909,10
GS1_121.01,431.8,16,8,47.083,39.182,4.447,12,GS1_121.01,12,9,GS1_121.01,14.1922825376063,12
GS1_121.02,704.5,14,9.5,51.247,44.879,6.354,12,GS1_121.02,10.6,9,GS1_121.02,13.1716906946265,12
GS1_121.03,640.3,14,10,48.746,41.774,5.209,12,GS1_121.03,12.5,10,GS1_121.03,13.1962864721485,12
GS1_121.04,417.5,14,7.5,49.74,42.729,5.256,12,GS1_121.04,11.2,10,GS1_121.04,14.9761742682097,12
GS1_121.05,581.6,13,8.5,50.78,43.284,4.623,12,GS1_121.05,11.2,9,GS1_121.05,15.1456310679612,12
GS1_121.06,596.4,13.5,9,47.903,40.71,5.061,12,GS1_121.06,10.3,10,GS1_121.06,11.7724867724868,12
GS1_122.01,508.1,15.5,8,47.782,41.029,5.023,6,GS1_122.01,10.1,3,GS1_122.01,13.7908061292472,6
GS1_122.02,515,13,8,51.148,42.737,4.577,6,GS1_122.02,12.1,3,GS1_122.02,18.9083820662768,6
GS1_122.03,437.8,12.5,8,50.855,42.195,5.146,6,GS1_122.03,14,3,GS1_122.03,18.9579409918393,6
GS1_122.04,514.7,11.5,8,52.261,45.638,6.242,6,GS1_122.04,14,3,GS1_122.04,20.7816377171216,6
GS1_122.06,416.4,14,9,48.741,41.893,6.793,6,GS1_122.06,12.4,3,GS1_122.06,14.0992167101828,6
GS1_123.01,473.7,14,8.5,44.099,37.649,4.677,12,GS1_123.01,11.3,10,GS1_123.01,15.2297042164884,12
GS1_123.02,639.1,17.5,9.5,44.008,37.06,4.546,12,GS1_123.02,11.1,9,GS1_123.02,13.1767775603392,12
GS1_123.03,578.8,16,9,45.482,38.909,4.846,12,GS1_123.03,11,10,GS1_123.03,13.0322580645161,12
GS1_123.04,236,11.5,7,47.331,40.339,5.181,12,GS1_123.04,11.4,9,GS1_123.04,14.9155033063924,12
