FruitID,Gid,Weight,Length,Width,Brix,DM,L,a,b
GS1_1.01,GS1_1,573,14,8.5,13.3,17.9,70.6,32.6,80.7
GS1_1.02,GS1_1,242.6,10.5,7.5,10.7,15.5,72.3,26.5,75.3
GS1_1.03,GS1_1,466.7,16,7.5,12.8,20.4,71,32.1,82.7
GS1_1.04,GS1_1,373.9,12,8,12,16,69.1,31.8,77.5
GS1_1.05,GS1_1,316.1,12.5,7.5,13,22.7,71.7,30.6,82.5
GS1_1.06,GS1_1,443.6,14,7.5,12.8,17.6,69.7,34.7,77.6
GS1_10.01,GS1_10,723.3,16.5,9.5,12.3,15.3,74.7,24.6,76
GS1_10.02,GS1_10,725.1,18,9.5,9.4,13.7,73.3,23.4,76.7
GS1_10.03,GS1_10,676.9,17,9.5,11.3,12.6,74.5,24.1,74.3
GS1_10.04,GS1_10,823.3,18.5,10,10.7,12.3,74.5,24,77.1
GS1_10.05,GS1_10,675.8,16,9.5,11.5,13.7,73.6,24.6,74.9
GS1_10.06,GS1_10,951.3,15.5,11,10.6,11.4,75.3,23.7,72.6
GS1_100.01,GS1_100,624.3,18,8.5,10.5,13.3,69.9,31.4,77.4
GS1_100.02,GS1_100,524.4,15,8.5,11.1,12.3,68,32.5,74.3
GS1_100.03,GS1_100,711,17,9.5,12.7,13.9,69.2,31.5,77.8
GS1_100.04,GS1_100,929.4,17.5,10.5,13.5,15.2,69.4,33.8,74
GS1_100.05,GS1_100,593.5,15,9,13.2,13.7,72.8,28.7,77.1
GS1_100.06,GS1_100,763.3,19,10,10.3,12.7,71.4,28.7,74.9
GS1_101.01,GS1_101,928.7,16,10,13.2,16.5,70.9,31.4,76.6
GS1_101.02,GS1_101,605.5,14.5,9,12.4,16.1,69.2,30.7,75.6
GS1_101.03,GS1_101,1080.2,20,10.5,14.1,15.4,70,30.2,73.6
GS1_101.04,GS1_101,753.5,15,10,14.1,16.8,69.3,31.1,73.3
GS1_101.05,GS1_101,931.3,19,11,14,16,68.4,32.8,78.5
GS1_101.06,GS1_101,925.2,17,10,13.8,15.1,71.5,30.9,74.6
GS1_102.01,GS1_102,777.4,15,10,12.8,14.8,73.1,23.5,74.4
GS1_102.02,GS1_102,1040.9,17,10,11.8,16.4,74.9,23.1,79.8
GS1_102.03,GS1_102,788.1,15,10.5,12.1,14.6,70.8,27,79.1
GS1_102.04,GS1_102,366.1,13,8,13.3,20.8,70.2,29.1,78.8
GS1_102.05,GS1_102,884.3,17,10.5,12.3,14.9,72.9,26.2,80.7
GS1_102.06,GS1_102,701.2,16,9.5,13.2,16.7,71.4,25.4,80.9
GS1_103.01,GS1_103,983.9,16.5,11.5,12.7,18.2,71.8,28.4,72.5
GS1_103.02,GS1_103,946,17,10.5,11.4,13.3,70.2,31.3,75.3
GS1_103.03,GS1_103,669.3,17,9,11.4,14.2,74.4,27.9,73.7
GS1_103.04,GS1_103,787.8,16.5,9.5,12.4,15.6,70,30.8,74
GS1_103.05,GS1_103,611.7,15,9,13.1,14.9,73.6,29.5,74.8
GS1_103.06,GS1_103,740.4,16.5,9,11.5,15.3,68.9,33.6,74.2
GS1_104.01,GS1_104,608.5,17,10,14.5,16.8,69.6,31.3,74.4
GS1_104.02,GS1_104,476.8,14,8.5,11.8,14.7,71.7,29.2,71.9
GS1_104.03,GS1_104,530.2,15,8.5,10.9,12.4,72.5,29.8,71.6
GS1_104.04,GS1_104,764.5,17.5,10,11.8,13.7,68,33.6,67.5
GS1_104.05,GS1_104,531.5,14.5,9.5,13.4,16.7,72.9,27.8,73.2
GS1_104.06,GS1_104,683.5,18,10,10.9,11.6,69.4,31,72.2
GS1_105.01,GS1_105,1001.4,18,10.5,12.3,16.1,68.6,28.2,73.7
GS1_105.02,GS1_105,982.5,18,11,11.1,12.2,67.8,28.8,76.8
GS1_105.03,GS1_105,930.1,17,10.5,12.9,16.7,69.1,27.1,76.6
GS1_105.04,GS1_105,987.6,18.5,11,13.3,15.5,68.6,28.7,75.5
GS1_105.05,GS1_105,868.8,18.5,10,13.6,16.3,68.8,31.5,74.1
GS1_105.06,GS1_105,1021.5,19.5,10,11.7,14.2,69.5,27.9,76.1
GS1_106.01,GS1_106,1129.5,17.5,12,11.1,13.6,75,23.4,75.1
GS1_106.02,GS1_106,972.8,17,11,10.8,13,72.5,23.3,75.3
GS1_106.03,GS1_106,1092.9,16,12,8.5,12.3,74.8,23.8,76.4
GS1_106.04,GS1_106,1030.6,15.5,11.5,11.1,11.9,76.2,23.2,69.2
GS1_107.01,GS1_107,637.9,16.5,9,12.6,13.7,72.4,24.4,73.5
GS1_107.02,GS1_107,745.2,17.5,10,10.4,11.9,72.8,25.5,75.6
GS1_107.03,GS1_107,1082.5,18.5,10.5,9.9,10.6,73.3,25.2,72
GS1_107.04,GS1_107,682.7,17,9,10.8,13.6,69.9,28.7,79.6
GS1_107.05,GS1_107,781.7,15,10.5,11.2,11.8,73.1,22.8,73.8
