FruitID,Gid,Weight,Length,Width,Brix,DM,L,a,b
GS1_107.06,GS1_107,731.3,18,9.5,10.3,11.3,71.6,25.6,75.6
GS1_108.01,GS1_108,404.3,13,8.5,9.8,14.9,67.4,29.5,76.2
GS1_108.02,GS1_108,503.9,14,9,11.7,13.5,67.2,29.6,76.8
GS1_108.03,GS1_108,541.7,13.5,9,11.4,15.2,68.9,29,78.9
GS1_108.04,GS1_108,738,14,9.5,11.8,15.6,69.4,30.7,78.1
GS1_108.05,GS1_108,725.2,16.5,9,9.3,14.8,67.6,31.9,74.9
GS1_108.06,GS1_108,397.1,12,8,12.5,14.3,67.4,30.2,75.6
GS1_109.01,GS1_109,794.8,17,9,12.6,16.4,70.4,30,74.8
GS1_109.02,GS1_109,650.2,16.5,9,11.3,13.2,71.7,25.4,73.5
GS1_109.03,GS1_109,490.4,15,8,10.9,12.3,72.6,24.4,73
GS1_109.04,GS1_109,418.8,13.5,8.5,11.6,13,71.8,25.6,76.5
GS1_109.05,GS1_109,652.5,16,9.5,13.3,14.6,70.9,29,73.3
GS1_109.06,GS1_109,310,12,7.5,9.7,11.9,70.6,25.6,75
GS1_11.01,GS1_11,747.4,17,9.5,12.9,15.6,70.5,30.2,78.8
GS1_11.02,GS1_11,759.6,17.5,10,12.4,15.5,70.4,27.4,77.5
GS1_11.03,GS1_11,785.8,21,10,11.5,14.8,70.6,29.5,78.4
GS1_11.04,GS1_11,603.7,18.5,9,12.6,17.1,70.8,31.3,80.8
GS1_11.05,GS1_11,754.8,17.5,10.5,10.5,15.2,70.2,28.9,78.9
GS1_11.06,GS1_11,591.7,16,9,13.2,16.4,72.6,25.2,78.6
GS1_110.01,GS1_110,937.3,16.5,10.5,10.4,13.3,73.2,23.6,76.2
GS1_110.02,GS1_110,1237.8,17.5,11.5,11.9,14.1,73.5,24.5,76.4
GS1_110.03,GS1_110,824.5,16,11,11.3,15.8,71.3,25.1,77
GS1_110.04,GS1_110,1098.5,16.5,11.5,9.1,10.4,75.7,22.4,69.2
GS1_110.05,GS1_110,1253,18.5,11,10.3,12.6,72.8,26,79.4
GS1_110.06,GS1_110,1230.3,18.5,11,12.3,16.2,74,25.5,78.1
GS1_111.01,GS1_111,1008.7,18.5,10.5,11.2,13.1,76.7,25.8,71.1
GS1_111.02,GS1_111,514.6,14.5,9.5,11.8,13.4,75.3,24.9,70.1
GS1_111.03,GS1_111,707.2,17,9,11.4,12.6,78.8,21,64.7
GS1_111.04,GS1_111,616.7,15.5,9.5,10.3,12,76.9,18.9,61.1
GS1_111.05,GS1_111,723.3,16.5,9,11.2,14.5,79.2,21,66.7
GS1_111.06,GS1_111,407.1,13.5,8.5,11.1,14,76.8,23.1,66.9
GS1_112.01,GS1_112,782.5,15.5,10,9.9,13.8,71.6,25.3,77.6
GS1_112.02,GS1_112,797.3,15.5,10.5,10.6,13.5,71.3,25.1,74.9
GS1_112.03,GS1_112,760.9,15.5,9.5,10.3,13.2,69.8,25.1,76.8
GS1_112.04,GS1_112,713.5,16,9,11.5,14.9,68.3,27.8,76.6
GS1_112.05,GS1_112,507.1,12,8.5,10.8,13.8,71.9,24.7,76.5
GS1_112.06,GS1_112,667.4,15.5,9,10.8,13.1,69.5,25,74.5
GS1_113.01,GS1_113,402,11.5,8.5,13.2,16,70,29,77.9
GS1_113.02,GS1_113,607.7,17.5,9,9.6,16,66,34.3,74.6
GS1_113.03,GS1_113,594.4,15.5,9,10.8,16,72,29.8,79.5
GS1_113.04,GS1_113,526.4,13.5,9.5,12.7,15.3,71,30.2,78.2
GS1_113.05,GS1_113,610,15,9.5,11.7,16.3,72,28.8,76.2
GS1_113.06,GS1_113,600.5,15,9.5,8.9,15.9,70.5,31.9,77.2
GS1_114.01,GS1_114,654.7,14.5,9.5,11.9,14.4,68.7,31,79.4
GS1_114.02,GS1_114,673.1,14.5,9,12.1,14.2,69.9,29.1,76.1
GS1_114.03,GS1_114,733.8,15,9.5,11.9,14.7,68.7,31.4,77.4
GS1_114.04,GS1_114,552.6,13.5,9,11.4,14.3,70.2,31.8,79.6
GS1_114.05,GS1_114,848.2,16,9.5,12,14.7,68.8,30.5,77.6
GS1_114.06,GS1_114,777.2,16,9.5,12,14,69.2,31.5,77.3
GS1_115.01,GS1_115,574.8,15.5,8.5,11.2,14,71,24,74.7
GS1_115.02,GS1_115,620.9,13.5,9,9.1,13.2,73.3,20.1,70.4
GS1_115.03,GS1_115,802.8,16.5,10,11,13,73,20.9,71.6
GS1_116.01,GS1_116,961.4,18,10.5,11.3,16.1,69.9,27.2,76
GS1_116.02,GS1_116,942.6,17.5,10.5,11.9,17.8,72.5,22.9,72.8
GS1_116.03,GS1_116,749.2,15,9.5,13.1,17.4,73.2,24.8,76.1
GS1_116.04,GS1_116,977.3,17,11,11.5,14.9,68.6,26.7,70.6
GS1_116.05,GS1_116,908.1,16,10,12.2,16.3,69.8,26.5,75.6
GS1_116.06,GS1_116,877.9,15,11,11.5,11.8,71.7,24.4,73.7
GS1_117.01,GS1_117,633.8,13.5,9.5,10.1,15.3,73.6,22.3,72.4
GS1_117.02,GS1_117,521.4,13.5,8,11.1,15.5,71.2,25.5,74.5
GS1_117.03,GS1_117,603.6,15,9,10.2,13.9,69.4,25.3,73.4
GS1_117.04,GS1_117,532,12,9,10.9,13.7,73.2,24.4,77.5
GS1_117.05,GS1_117,791,14,10,10.9,14.9,71.9,25.6,74.9
GS1_117.06,GS1_117,556,13.5,8.5,10.8,14.7,73,23.1,73
GS1_118.01,GS1_118,748.7,15.5,10,11.4,13.4,72.7,29.4,76.4
GS1_118.02,GS1_118,854.5,16.5,10,12.9,19.7,74.4,28.2,74.5
GS1_118.03,GS1_118,773.4,14.5,10.5,11.4,16,72.8,30.2,69.4
GS1_118.04,GS1_118,844.6,16.5,10.5,9.5,13.4,70.5,32,73.8
GS1_118.05,GS1_118,672.8,16,9.5,12.9,16.3,69.2,29.1,77.1
GS1_118.06,GS1_118,585.5,13.5,9.5,11.8,13.2,71.6,29.9,78.2
GS1_119.01,GS1_119,527.7,14,9,8.9,17.2,72.1,29.3,69.3
GS1_119.02,GS1_119,667.7,16,10,11.7,15.4,71.5,27.8,69.4
GS1_119.03,GS1_119,525,15.5,8.5,11.2,13.5,71.3,29.7,71.8
GS1_119.04,GS1_119,541.1,14.5,9,11.8,15.4,70.3,30.8,75.1
GS1_119.05,GS1_119,585.7,14.5,9,12.1,17.6,73.3,27.8,70.1
GS1_119.06,GS1_119,521.2,15,9,12.1,14.5,70.6,30,71.2
GS1_12.01,GS1_12,880.9,21,10,12.8,19.1,71.5,28.2,79.6
GS1_12.02,GS1_12,695.1,18.5,9.5,11.8,18.6,73.7,25.7,78.2
GS1_12.03,GS1_12,762.3,20,9,6.1,15.5,71.9,28.9,77.8
GS1_12.04,GS1_12,750.8,18.5,9.5,8,9.9,68.4,31.1,76.4
GS1_12.05,GS1_12,658.9,16,9.5,8.8,17.9,72.4,26.9,78.9
GS1_12.06,GS1_12,487.7,14.5,9,10.3,16,71.3,27.3,74.4
GS1_120.01,GS1_120,827.5,17,10.5,10.7,15.1,74.1,24.5,71.9
GS1_120.03,GS1_120,550.9,14.5,9,10.6,14.2,73,25.2,72
GS1_120.04,GS1_120,939.2,18.5,11,10.7,13.6,74.5,25.1,74
GS1_120.05,GS1_120,1094.7,19.5,11,11.6,13.4,72.8,25.4,72.1
GS1_120.06,GS1_120,767.4,15.5,10,11.6,14.9,74.2,25.7,70.9
GS1_121.01,GS1_121,431.8,16,8,12,14.2,68.9,29.8,77.5
GS1_121.02,GS1_121,704.5,14,9.5,10.6,13.2,72.8,24.2,75.6
GS1_121.03,GS1_121,640.3,14,10,12.5,13.2,70.7,26.5,76.9
GS1_121.04,GS1_121,417.5,14,7.5,11.2,15,71.4,26.3,77.8
GS1_121.05,GS1_121,581.6,13,8.5,11.2,15.1,71.7,27.5,81.5
GS1_121.06,GS1_121,596.4,13.5,9,10.3,11.8,70,27.3,76.3
GS1_122.01,GS1_122,508.1,15.5,8,10.1,13.8,70.2,26,76.9
GS1_122.02,GS1_122,515,13,8,12.1,18.9,71.4,30.1,81.1
GS1_122.03,GS1_122,437.8,12.5,8,14,19,71,30.9,77.7
GS1_122.04,GS1_122,514.7,11.5,8,14,20.8,73.3,24.7,76.9
GS1_122.06,GS1_122,416.4,14,9,12.4,14.1,70.8,26.1,70.3
GS1_123.01,GS1_123,473.7,14,8.5,11.3,15.2,67.8,26,74.4
GS1_123.02,GS1_123,639.1,17.5,9.5,11.1,13.2,67.3,27.7,74.3
GS1_123.03,GS1_123,578.8,16,9,11,13,68.7,26.1,75.1
GS1_123.04,GS1_123,236,11.5,7,11.4,14.9,69.7,26.9,75.3
GS1_123.05,GS1_123,504.2,14.5,9,11.5,14.1,68.2,25.4,75.1
GS1_123.06,GS1_123,536.1,14,9.5,11.6,14.7,69.2,26.4,76.2
GS1_124.01,GS1_124,490.2,14.5,8.5,9.9,12,70.1,31.9,72
GS1_124.02,GS1_124,395.6,13.5,8.5,12.5,14,69.6,33.4,66.6
GS1_124.03,GS1_124,627.7,15,10,10.7,12,71.2,31.9,70
GS1_124.04,GS1_124,353.6,12.5,8.5,10,11.8,69,32.6,67.6
GS1_124.05,GS1_124,409.5,13.5,8,10.1,11.1,70.5,32.1,72
GS1_125.01,GS1_125,920.3,17,10.5,10.5,12.6,75.2,26.3,77.5
GS1_125.02,GS1_125,792.9,16,10,11.1,13.6,73.9,25.7,79.6
GS1_125.03,GS1_125,793.3,17,10.5,11,14.3,73.8,24.9,75.6
GS1_125.04,GS1_125,770.9,16,10,10.7,16.6,80.5,17.2,78.8
GS1_125.05,GS1_125,584.4,14,9.5,10.8,19.2,79,19.2,74.3
GS1_125.06,GS1_125,772.1,16,10.5,11.3,13.9,72,25.5,78
GS1_126.01,GS1_126,473.7,15.5,8.5,9.6,11.3,72,23.6,73.5
GS1_126.02,GS1_126,734.4,15.5,9.5,10.8,14.8,74.8,22.9,77
GS1_126.03,GS1_126,666.4,15.5,9,12.7,18,72.9,27.3,76.4
GS1_126.04,GS1_126,542.9,15,8.5,9.8,12.6,73.5,24,79.3
GS1_126.05,GS1_126,850.3,15,10.5,12.8,21.6,76.9,23.7,81.2
GS1_126.06,GS1_126,535.2,15.5,8,11.2,14.2,73,24.3,74.4
GS1_127.01,GS1_127,530,14,9.5,13.5,17.6,78.5,19.6,75.3
GS1_127.02,GS1_127,642.1,17,9.5,11.8,13,71.6,26.5,77.5
GS1_127.03,GS1_127,768.2,15.5,11,12.2,15.8,79.8,17.9,75.7
GS1_127.04,GS1_127,510.6,15.5,9,12,14,71.9,28,76.4
GS1_127.05,GS1_127,414.1,13.5,8.5,12.3,15.4,73.3,25,76.2
GS1_127.06,GS1_127,387.5,12.5,8,13,19.3,78.2,21.5,83.1
GS1_128.01,GS1_128,406.2,14,9,10.7,12.6,66.8,26,74
GS1_128.02,GS1_128,368.8,15,8,10,12.5,66.4,30.7,73.2
GS1_128.03,GS1_128,335,14,8,12,17.5,69.6,30.6,75.1
GS1_128.04,GS1_128,288.1,14.5,7.5,10.3,13,68.4,29.6,76.4
GS1_128.05,GS1_128,347,14.5,8.5,10.8,12.6,67,32.1,74.4
GS1_128.06,GS1_128,359,15.5,7.5,11,14.1,66.7,30.9,75.8
GS1_129.01,GS1_129,402.1,13.5,8.5,12.2,14.7,74.2,26,80.3
GS1_129.02,GS1_129,470,13.5,8.5,12.8,14.6,71.8,29.4,77.3
GS1_129.03,GS1_129,567.8,16,9,11.7,13.2,70.1,30.1,78.3
GS1_129.04,GS1_129,278.9,12,7.5,12.2,14.1,69.6,29.7,75.6
GS1_129.05,GS1_129,425.4,11.5,9,12,12.8,69.5,28.8,76.9
GS1_129.06,GS1_129,460.2,13.5,9,11.1,13.1,68.4,27.1,74.3
GS1_13.01,GS1_13,825.4,17,10.5,14,16.4,70.3,34,66.3
GS1_13.02,GS1_13,630.5,15,10.5,12.6,15.6,70.3,33.9,66.1
GS1_13.03,GS1_13,605.9,16,10,15,17.9,69.9,35.3,67
GS1_13.04,GS1_13,859.2,17.5,10.5,13.6,16.2,71.4,33.6,65.8
GS1_130.01,GS1_130,823.4,17.5,10,12.8,15.5,69.1,29.6,77.9
GS1_130.02,GS1_130,641.9,15.5,9.5,11.9,13.8,69,26.9,76.5
GS1_130.03,GS1_130,233.7,12,6.5,13.5,19.6,64.7,30,75.1
GS1_130.04,GS1_130,773.4,16.5,10,12.5,15.9,69.1,29.2,75.9
GS1_130.05,GS1_130,210.5,11.5,6,13.9,20.3,68.5,33,81.6
GS1_130.06,GS1_130,432.6,13.5,8,10.8,15.9,68.5,31.4,76.8
GS1_131.01,GS1_131,636.2,16,9,12,15.6,72,25.6,74.6
GS1_131.02,GS1_131,319.2,11,7.5,11.1,16.8,72,27.6,76.2
GS1_131.03,GS1_131,551.4,14,9,8.2,10.9,69.9,27.3,73.9
GS1_131.04,GS1_131,584.8,16,8.5,11.5,13,70.5,29.2,76.2
GS1_131.05,GS1_131,552.9,15,8,12.7,14.6,71.8,28.9,78.6
GS1_131.06,GS1_131,539.1,15.5,9,9.5,11.7,69,27.4,75.5
GS1_132.01,GS1_132,632.3,14.5,10,10,12.8,68.9,31,77.6
GS1_132.02,GS1_132,494.7,14.5,9.5,12.3,16.6,68.6,31.5,77.6
GS1_132.03,GS1_132,385.4,13.5,8.5,10.2,18.2,70,30.5,79
GS1_132.04,GS1_132,410.2,12.5,9,11.8,15.4,70,30.1,80.3
GS1_132.05,GS1_132,489.4,14.5,9,13.9,19.3,69.5,31.7,81.4
GS1_132.06,GS1_132,598.1,15,10.5,11.4,14,66.1,32.5,78.2
GS1_133.01,GS1_133,662.2,17.5,8.5,10.3,14.4,71.3,27.4,78.2
GS1_133.02,GS1_133,712,18,9,12.4,17.1,71.8,25.7,77.1
GS1_133.03,GS1_133,792.2,19,9,11.3,16.8,74.4,24,73
GS1_133.04,GS1_133,752.9,16.5,9,11.5,16.1,75.1,28.6,70.8
GS1_133.05,GS1_133,671.3,17,9,11.4,15.7,70.9,27.2,78.2
GS1_133.06,GS1_133,773,19.5,8.5,11.4,14.1,73.1,27.5,74.7
GS1_134.01,GS1_134,750.9,18,9,12.8,16.3,71.9,30.5,78.5
GS1_134.02,GS1_134,762.4,15.5,10.5,12.2,16.2,71.9,30,75.8
GS1_134.03,GS1_134,705.9,17,9,14.2,18.7,69.3,31.8,81.5
GS1_134.04,GS1_134,914.5,18,10.5,13.1,19.1,69.9,31.3,78.1
GS1_134.05,GS1_134,733.9,18.5,10,11.3,15.1,70.3,30.8,77.9
GS1_134.06,GS1_134,728.8,14.5,9.5,11.4,11.9,72.4,22.7,72.6
GS1_135.01,GS1_135,513,15,8.5,12.3,17.6,75.2,24,79.1
GS1_135.02,GS1_135,473.8,13.5,8.5,12.1,16,76.5,22.6,74.8
GS1_135.03,GS1_135,653.8,16.5,9,10.6,14.6,73.4,24,78.3
GS1_135.04,GS1_135,761.1,17.5,9,11.9,13.7,72.4,26.8,74.1
GS1_135.05,GS1_135,713,18,9,10.5,13.7,73.8,25.6,79.7
GS1_135.06,GS1_135,964.5,18,10.5,11.6,13.4,73.8,24.5,74.2
GS1_136.01,GS1_136,594.4,16,9,10.4,11.2,65.3,33.3,74.5
GS1_136.02,GS1_136,359.8,12.5,8,12.4,15.8,67.3,32.7,75.4
GS1_136.03,GS1_136,602.6,15.5,9.5,9.6,10.7,67.3,33.9,77.4
GS1_136.04,GS1_136,233.5,12,6,12.7,15.8,67.3,30.3,74.3
GS1_136.05,GS1_136,678,17,10,12.3,14.2,66.6,33.7,76.3
GS1_136.06,GS1_136,685.8,16.5,10,9.8,11.4,66.6,32.3,76.5
GS1_137.01,GS1_137,1011.6,17.5,11.5,11.8,15.7,71.3,24.4,73.3
GS1_137.02,GS1_137,757.3,16.5,10,12.5,15.1,73.1,23.9,75.2
GS1_137.03,GS1_137,616.3,16,10,12,14.7,71.7,23.9,73.1
GS1_137.04,GS1_137,982.3,18,11,10.2,14.1,75.6,25.1,69
GS1_137.05,GS1_137,1095.4,18.5,12,10.6,14.5,70.8,24.1,71.5
GS1_137.06,GS1_137,916.8,17.5,10.5,10.7,13.6,73.4,23.7,75.8
GS1_138.01,GS1_138,520.2,13.5,9.5,10,13.3,69.3,28.5,77.8
GS1_138.02,GS1_138,745.1,16,9.5,11,18.9,70.4,29,76.4
GS1_138.03,GS1_138,730.4,15.5,10,11.6,8.8,71.1,25.8,74.7
GS1_138.04,GS1_138,706.9,13.5,10,11,13,71.4,26.9,78.6
GS1_138.05,GS1_138,563.7,15,9.5,11.7,14.5,69,30.1,77.6
GS1_138.06,GS1_138,526.7,14,9,11.5,15.3,68.3,30.3,75.9
GS1_139.01,GS1_139,747.2,16,10.5,9.2,12.2,69.4,27.5,71
GS1_139.02,GS1_139,929.9,16.5,11.5,10.6,12.8,71.5,24.7,65.7
GS1_139.03,GS1_139,865.2,18,10.5,10.2,12.6,68.5,29.3,70.7
GS1_139.04,GS1_139,859.5,16.5,11,10.6,11.4,70.5,26.4,65.4
GS1_139.05,GS1_139,792.2,15,11.5,10.9,14.1,69.2,26.3,68.8
GS1_139.06,GS1_139,993.2,19.5,10,11.4,13.5,68.8,27.1,71.4
GS1_14.01,GS1_14,1191.3,19.5,11.5,10,13.7,70.6,28.9,74.8
GS1_14.02,GS1_14,926.3,18,11,11.4,14.7,70.6,27.4,75.5
GS1_14.03,GS1_14,1088.1,18,11,11.3,12.4,71.5,28.8,75.4
GS1_14.04,GS1_14,524.6,14,9.5,12.8,14.5,69.8,30,76.5
GS1_14.05,GS1_14,906.9,18,11.5,11.6,14,69.5,31.9,77.1
GS1_14.06,GS1_14,1022.8,17,11,10.5,12.7,69.2,29.4,77
GS1_140.01,GS1_140,1306.5,20,11.5,13.9,15.9,70.8,29.9,79.3
GS1_140.02,GS1_140,676.7,17.5,9.5,14.7,18.4,68.3,34.6,78.5
GS1_140.03,GS1_140,811.3,18,10,14.5,14,70.7,29,77
GS1_140.04,GS1_140,909,18,11,13.6,17.3,69.6,32.2,77.2
GS1_140.05,GS1_140,917.4,18,11,14,17.7,71.5,29.6,82.4
GS1_141.01,GS1_141,420.4,14.5,8.5,10,14.5,67.8,27.2,77.2
GS1_141.02,GS1_141,832.9,15.5,10.5,12.6,15.6,69.3,27.3,75.2
GS1_141.03,GS1_141,556.6,14.5,8.5,10.3,13.2,70.8,27.3,75.1
GS1_141.04,GS1_141,801.5,16.5,10,10.6,14.3,71.9,26.6,79.7
GS1_141.05,GS1_141,411.5,13,8,9,12.4,69.7,29.2,76.6
GS1_141.06,GS1_141,560.1,14.5,9,11.7,15.2,70.2,28.4,80.9
GS1_142.01,GS1_142,1026.8,20.5,10.5,11.3,14.6,71,29.8,79.2
GS1_142.02,GS1_142,1108.1,20,10.5,11.9,14.4,70.2,29.5,79.3
GS1_142.03,GS1_142,870.4,19.5,11,12.1,16.4,69.7,30.7,79.6
GS1_142.04,GS1_142,452.4,17,7.5,8,9.2,70.3,29.1,76.1
GS1_142.05,GS1_142,407.7,14,7.5,10.6,12.2,68.7,30.2,77.5
GS1_142.06,GS1_142,1021.6,18.5,10,12.2,14.3,69.3,27.9,76.5
GS1_143.01,GS1_143,955.2,16,11,13,14.3,71.7,29.3,78.6
GS1_143.02,GS1_143,904.6,17,11,12.5,15.9,66.7,28.7,74.5
GS1_143.03,GS1_143,797.4,16,10.5,10.2,12,68.8,28.2,75.6
GS1_143.04,GS1_143,722.4,14.5,10.5,13.1,14.9,69.5,29.4,76.7
GS1_143.05,GS1_143,455.5,11.5,8.5,11.4,18.8,70.6,30.4,81.2
GS1_143.06,GS1_143,178.4,9.5,6.5,12.6,16.7,65,34.1,75.2
GS1_144.01,GS1_144,686.7,15,9.5,11.6,16.2,72.8,27.4,74.7
GS1_144.02,GS1_144,923.5,18,10.5,11.4,14.9,70.8,30.3,77.9
GS1_144.03,GS1_144,538.4,14.5,8.5,13,19.5,71.1,29.3,76.1
GS1_144.04,GS1_144,713.6,17,9.5,11.3,15,69.6,31.6,78.7
GS1_144.05,GS1_144,853.3,17,10,11.8,16,72,28.9,81.4
GS1_144.06,GS1_144,1033.7,18,11,13.3,18,70.9,30,77
GS1_145.01,GS1_145,788.8,17.5,10.5,11.5,17,71,31.4,79.5
GS1_145.02,GS1_145,608.8,16,9,11.9,16.4,69.9,31.8,80.4
GS1_145.03,GS1_145,927.3,17.5,10.5,11,15.5,71,32,77.2
GS1_145.04,GS1_145,562,16,8.5,9.9,13,69,32.8,78.1
GS1_145.05,GS1_145,661.7,16.5,10.5,10.8,16.3,73.7,27.5,83.9
GS1_145.06,GS1_145,528.8,14.5,9.5,10.5,12.6,69.8,33,79.3
GS1_146.01,GS1_146,768.5,15.5,9,9.9,11.9,72.1,25,76.6
GS1_146.02,GS1_146,711.9,14.5,10,10.9,14.5,70.3,32,78.3
GS1_146.03,GS1_146,832.1,15.5,9.5,10.6,12.2,70.2,25.1,75.4
GS1_146.04,GS1_146,652.7,14,10.5,9.5,14.5,67.3,29.1,76.8
GS1_146.05,GS1_146,1235.8,17,11,11.1,15,71,28.5,79.3
GS1_146.06,GS1_146,639.7,13.5,10,12,14.2,69.1,27.8,76.4
GS1_147.01,GS1_147,740.3,17,10,14,16.3,70.1,31.6,80.8
GS1_147.02,GS1_147,321.1,10,8,11.4,17.3,75.9,26.2,84
GS1_147.03,GS1_147,877.8,17.5,10.5,12.3,15,70.7,31.2,77.2
GS1_147.04,GS1_147,782.8,17.5,9.5,11.5,13.1,69.6,29.5,78.4
GS1_147.05,GS1_147,730.6,15,10,11.6,14,73.7,29.1,78.6
GS1_147.06,GS1_147,793.1,18.5,9,11.3,14.5,71.3,31,79.5
GS1_148.01,GS1_148,811.6,16.5,10,11.3,14,70.2,26.2,76.6
GS1_148.02,GS1_148,487,13.5,8,11.3,14.2,68.7,27.5,77
GS1_148.03,GS1_148,470.1,14,8.5,11.5,13.6,69.4,26,74.1
GS1_148.04,GS1_148,504.8,14.5,8,10.8,14,69.3,26,77.4
GS1_148.05,GS1_148,470.2,13.5,8.5,11.3,12.5,70.8,26.9,75.2
GS1_148.06,GS1_148,1120.3,15.5,11,11.6,13.5,71,28.1,79
GS1_149.01,GS1_149,802,14.5,9,9.9,12.5,72.6,27.7,79.6
GS1_149.02,GS1_149,1083.3,16.5,10,12,14.7,70.6,30.3,78.7
GS1_149.03,GS1_149,603,14,8.5,11.8,14.8,70.5,29.2,72.2
GS1_149.04,GS1_149,561.1,13.5,8,13,15.7,70.5,31.1,73.5
GS1_149.05,GS1_149,559.3,13,8.5,11.8,13.6,70.8,31,73.6
GS1_149.06,GS1_149,438.4,12,8.5,13.1,15.8,70.1,28.4,75.4
GS1_15.01,GS1_15,765.3,15.5,10,12.8,17.3,71.2,29.9,80.1
