EntryID,DM
18-3727_Rep2_2.2,9.28
18-3727_Rep2_2.1,10.9306260575296
18-3727_Rep2_3.3,12.8007402837754
18-3727_Rep2_3.2,10.2074966532798
18-3727_Rep2_3.1,10.7759974866478
18-3727_Rep2_1.2,13.8173302107728
18-3727_Rep2_1.1,12.2103078519543
18-3727_Rep2_4.1,11.9687092568448
18-3723_Rep1_16.5,14.4667952604023
18-3723_Rep1_17.3,10.8192977447902
18-3723_Rep1_17.5,10.4382929642445
18-3723_Rep1_17.6,11.1730205278592
18-3723_Rep1_16.4,9.20821114369502
18-3723_Rep1_17.1,11.1139829413285
18-3723_Rep1_16.3,10.0772797527048
18-3723_Rep1_17.2,16.4362519201229
18-3723_Rep1_17.4,10.5743628756181
18-3723_Rep1_16.1,10.0669412976313
18-3723_Rep1_16.2,10.6441802598839
18-3723_Rep1_18.1,12.0850428944424
18-3723_Rep1_15.3,13.6209813874789
18-3723_Rep1_15.4,13.968439509059
18-3725_Rep3_14.1,13.5635635635636
18-3725_Rep3_14.4,15.9693165969317
18-3723_Rep1_13.1,11.1667187988739
18-3725_Rep3_19.1,13.9598790876614
18-3725_Rep3_14.5,14.6443514644351
18-3725_Rep3_14.3,13.5359908230571
18-3723_Rep1_14.4,10.6749505789325
18-3725_Rep3_14.2,14.6816935729516
18-3723_Rep1_18.3,11.7664233576642
18-3723_Rep1_14.5,11.8112312153968
18-3725_Rep3_14.6,11.5797354629399
18-3723_Rep1_18.5,10.0560398505604
18-3723_Rep1_14.6,11.1351685740798
18-3723_Rep1_18.4,11.027027027027
18-3723_Rep1_15.2,11.5752551020408
18-3723_Rep1_15.1,12.7625201938611
18-3725_Rep3_12.2,14.4308473793581
18-3725_Rep3_11.2,16.4379189275455
18-3725_Rep3_12.3,15.8330951700486
18-3725_Rep3_12.5,13.8182973316391
18-3725_Rep3_19.2,14.9926793557833
18-3725_Rep3_18.4,13.4358974358974
18-3725_Rep3_18.1,14.2239946826188
18-3725_Rep3_19.4,14.1916906622789
18-3725_Rep3_18.2,14.2371601208459
18-3725_Rep3_18.6,16.0041841004184
18-3725_Rep3_18.3,13.4185303514377
18-3725_Rep3_19.5,12.3493975903614
18-3725_Rep3_11.1,11.1858190709046
18-3725_Rep3_19.3,15.8915834522111
18-3725_Rep3_12.6,16.7136631632915
18-3725_Rep3_18.5,15.29284164859
18-3725_Rep3_12.1,13.258505787443
18-3725_Rep3_12.4,15.438373570521
18-3725_Rep1_12.2,14.2476697736352
