EntryID,Weight,Length,Width,X,Y,Z
18-3723_Rep1_2.4,499.9,13.5,8,44.633,37.924,5.747
18-3724_Rep3_10.1,611.8,16.5,9.5,37.744,31.369,3.471
18-3724_Rep3_10.2,951.8,17.5,10,39.754,32.943,4.077
18-3724_Rep3_10.3,836.2,16,10,44.229,38.403,6.828
18-3724_Rep3_10.4,700.2,16,9.5,41.629,35.004,5.011
18-3724_Rep3_11.1,799.9,16,9,40.911,34.096,4.655
18-3724_Rep3_11.2,937.4,16.5,9.5,47.368,41.521,8.057
18-3724_Rep3_11.3,593,15,8.5,44.074,37.103,4.776
18-3724_Rep3_11.4,586.9,14,8.5,44.923,38.526,5.621
18-3724_Rep3_9.1,785.4,14.5,10,42.352,37.601,7.245
18-3724_Rep3_9.2,831.4,15,10,40.175,34.569,5.592
18-3724_Rep3_9.3,624.8,13.5,9,42.794,36.128,4.682
18-3724_Rep3_9.4,548.4,13,8.5,40.53,34.679,4.346
18-3724_Rep3_9.5,611.4,13,9,38.456,32.812,4.289
18-3724_Rep3_9.6,517.2,13,8.5,38.824,33.078,4.515
18-3724_Rep3_8.1,510.2,14.5,9,44.482,38.193,6.17
18-3724_Rep3_8.2,322.8,11,8,43.002,36.733,5.416
18-3724_Rep3_8.3,573,15,9,44.698,37.985,5.042
18-3724_Rep3_8.4,271.6,11,7.5,46.39,40.216,6.829
18-3724_Rep3_8.5,310.6,13,7.5,43.054,36.731,5.517
18-3724_Rep3_8.6,538.1,15.5,8.5,46.548,40.298,7.343
18-3724_Rep3_7.1,710.5,15,10,45.372,39.307,7.295
18-3724_Rep3_7.2,749.2,14,9.5,42.804,35.794,4.947
18-3724_Rep3_7.3,704.8,14,8.5,44.176,37.321,5.947
18-3724_Rep3_7.4,926.2,15,10,44.06,37.662,6.498
18-3724_Rep3_7.5,661.4,13,9.5,45.1,38.34,6.846
18-3724_Rep3_7.6,184.5,9.5,6,37.794,30.689,3.577
18-3725_Rep1_15.1,513.8,12,9.5,39.912,33.592,4.445
18-3725_Rep1_15.2,503,13,9,39.227,32.581,4.386
18-3725_Rep1_15.3,520.4,13,9.5,41.823,35.41,4.746
18-3725_Rep1_18.1,882.3,15,10,41.207,33.534,3.871
18-3725_Rep1_18.2,587.5,13,8.5,43.247,35.786,4.441
18-3725_Rep1_18.3,484,12.5,8.5,36.744,28.806,3.224
18-3725_Rep1_18.4,715,14,10,40.925,33.507,3.985
18-3725_Rep1_18.5,561.2,12.5,8.5,40.55,33.592,4.059
18-3725_Rep1_18.6,398.3,13,8,42.557,35.521,4.906
18-3725_Rep1_20.1,736.1,13.5,9.5,43.62,37.33,5.902
18-3725_Rep1_20.2,705.2,13.5,9,44.205,37.975,6.42
18-3725_Rep1_16.1,560.5,16,9,38.746,31.399,3.14
18-3725_Rep1_16.2,464.4,13.5,9,36.303,29.077,2.741
18-3725_Rep1_16.3,525.7,14.5,10,38.962,32.563,4.645
18-3725_Rep1_16.4,775.3,15.5,10.5,38.177,31.218,3.428
18-3725_Rep1_16.5,642.2,15.5,9.5,42.369,36.295,5.789
18-3725_Rep1_19.1,693.8,15,9,40.758,33.29,4.65
18-3725_Rep1_19.2,496.6,11.5,8.5,43.797,36.258,5.463
18-3725_Rep1_19.3,465,14.5,7.5,41.103,33.803,4.829
18-3725_Rep1_19.4,620.6,12.5,9,41.815,34.134,3.611
18-3727_Rep3_3.1,466.1,13,9,43.249,37.521,4.169
18-3727_Rep3_3.2,819.8,17,9,46.877,41.193,5.431
18-3727_Rep3_3.3,856.2,17,9.5,48.015,42.967,6.872
18-3727_Rep3_3.4,604.2,17,9,43.803,37.595,4.281
18-3727_Rep3_1.1,673.1,15,9,48.758,45.265,8.47
18-3727_Rep3_5.1,890.6,17,9.5,48.053,43.59,6.902
18-3727_Rep3_5.2,517.9,15,7.5,49.45,45.93,10.369
18-3727_Rep3_5.3,583.4,16,9,50.356,46.547,9.339
18-3727_Rep3_2.1,617.2,16,8.5,47.822,42.045,7.605
18-3727_Rep3_4.1,491.5,13,9.5,46.708,42.502,7.483
18-3727_Rep3_4.2,753.7,16.5,9,48.602,43.495,8.033
18-3727_Rep3_4.3,814.5,17,10,48.947,44.549,9.047
18-3723_Rep1_5.1,983.5,16.5,10.5,46.323,41.201,9.285
18-3723_Rep1_5.2,1002.6,17.5,10.5,47.373,40.925,7.16
18-3723_Rep1_5.3,771.4,15,10.5,45.197,40.422,7.278
18-3723_Rep1_5.4,858.8,15,10.5,47.34,42.099,9.193
18-3723_Rep1_5.5,588.9,13,9,43.527,38.595,6.262
18-3723_Rep1_5.6,824.3,15.5,10,47.615,41.268,6.576
18-3723_Rep1_4.1,378.3,15,7.5,44.954,38.238,7.676
18-3723_Rep1_4.2,487.8,15.5,8.5,45.412,40.678,8.277
18-3723_Rep1_4.3,468,15.5,9,43.737,38.315,6.545
18-3723_Rep1_4.4,273,15,7,15.233,13.855,3.45
18-3723_Rep1_4.5,445.2,16,7.5,43.99,37.076,5.932
18-3723_Rep1_4.6,581.4,17,9.5,24.169,20.675,3.672
18-3723_Rep1_3.1,963.8,14.5,10.5,45.053,39.824,8.312
18-3723_Rep1_3.2,888.1,15,10.5,42.299,36.277,5.797
18-3723_Rep1_3.3,618.3,13,9,42.986,36.704,5.665
18-3723_Rep1_6.1,532.4,15,8.5,40.553,33.237,5.05
18-3723_Rep1_6.2,577.7,15,9,40.944,33.591,5.989
18-3723_Rep1_6.3,459.4,16,8.5,41.884,34.692,6.447
18-3723_Rep1_6.4,710,16.5,9,38.351,31.469,6.302
18-3723_Rep1_6.5,561.9,13,9,42.38,35.161,6.308
18-3723_Rep1_9.1,1279.2,19.5,10.5,43.152,37.378,7.402
18-3723_Rep1_9.2,1193.1,19.5,11,43.786,38.006,7.665
18-3723_Rep1_9.3,921,18,10.5,42.546,36.628,5.627
18-3723_Rep1_7.1,1099.2,16,11,41.581,34.875,4.562
18-3723_Rep1_7.2,983.3,15.5,10.5,36.87,31.189,4.613
18-3723_Rep1_7.3,1036,16,11,42.353,35.952,5.708
18-3723_Rep1_7.4,724.6,14.5,9,40.68,33.624,3.79
18-3723_Rep1_7.5,686.5,14,9,41.858,35.55,6.131
18-3724_Rep3_12.1,732.7,15,9.5,48.697,44.006,10.693
18-3724_Rep3_12.2,501.6,14.5,8,45.292,39.897,7.112
18-3724_Rep3_12.3,653.1,17,8.5,43.491,36.894,5.045
18-3724_Rep3_12.4,754.8,14,10,48.731,43.506,9.715
18-3724_Rep3_12.5,402.2,13,8.5,46.069,41.135,6.058
18-3724_Rep3_12.6,548.9,14,9,46.87,41.367,7.481
18-3724_Rep3_13.1,727,16.5,10,47.254,42.629,9.669
18-3724_Rep3_13.2,993.5,17,10.5,52.349,48.258,14.187
18-3724_Rep3_13.3,325.3,14.5,8.5,43.274,37.482,4.564
18-3724_Rep3_13.4,849.3,17.5,10.5,47.709,42.416,8.843
18-3724_Rep3_13.5,811,15.5,10,46.725,40.985,8.129
18-3724_Rep3_13.6,845.7,17,10,49.636,44.999,11.435
18-3724_Rep3_14.1,486.2,16,8.5,42.925,36.998,7.004
18-3724_Rep3_14.2,684.3,16,9.5,44.833,38.031,5.937
18-3724_Rep3_14.3,482.2,14,8.5,47.659,41.411,8.766
18-3724_Rep3_14.4,460.2,15,8.5,41.628,34.985,4.499
18-3724_Rep3_14.5,592.1,15,9,45.501,39.468,6.772
18-3724_Rep3_14.6,740.8,16.5,9.5,45.2,38.778,6.339
18-3724_Rep3_15.1,711.7,16.5,9.5,45.562,40.284,6.901
18-3724_Rep3_15.2,675.3,16,10,46.583,41.325,7.643
18-3724_Rep3_15.3,439.4,12.5,8.5,40.97,35.861,5.697
