Year,Site,Block,Pop,Plot,Gid,Weight,Length,Width,Brix,DM,L,a,b,Index
2018,S2,1,C4,1,18-3725_15,512.4,12.67,9.33,11.27,14.81,64.84,27.21,70.11,13.38
2018,S2,1,C4,1,18-3725_16,593.62,15,9.6,11.38,16.31,63.39,28.98,71.24,14.69
2018,S2,1,C4,1,18-3725_18,604.72,13.33,8.92,10.47,13.77,64.49,30.37,71.96,14.68
2018,S2,1,C4,1,18-3725_19,569,13.38,8.5,11.75,16.44,65.25,30.21,70.4,15.14
2018,S2,1,C4,1,18-3725_2,535.15,12.25,8.75,11.35,12.73,65.37,26.6,70.58,12.29
2018,S2,1,C4,1,18-3725_20,720.65,13.5,9.25,10.05,11.95,67.76,25.49,67.65,12
2018,S2,1,C4,1,18-3725_3,560.36,13.1,9.1,11.36,13.02,67.8,24.82,70.99,11.62
2018,S2,1,C4,1,18-3725_4,405.4,12.33,8.25,13.02,16.45,63.43,30.31,71.19,14.71
2018,S2,1,C4,1,18-3725_6,376.64,12.2,7.3,10.64,14.38,65.44,28.84,70.63,14.17
2018,S2,1,C4,1,18-3725_7,574.95,14.25,9.62,10.35,13.73,67.58,24.85,70.05,12.28
2018,S2,1,C4,1,18-3725_8,331.73,12.62,7,12.35,17.82,65.86,27.6,73.26,14.29
2018,S2,1,C4,1,18-3725_9,453.7,12.67,8.08,9.77,13.24,67.29,28.58,70.82,13.95
2018,S2,2,Amber,1,18-3728_1,935.05,19.75,9.75,9.3,11.88,69.05,23.94,68.67,11.57
2018,S2,2,Amber,1,18-3728_2,763.74,16.6,9.3,9.5,11.54,67.42,26.32,69.6,12.41
2018,S2,2,Amber,1,18-3728_3,755.02,15.75,9.5,9.22,11.64,66.21,26.75,71.36,12.74
2018,S2,2,Amber,1,18-3728_4,677.35,15.75,8.75,9.55,11.51,67.4,24.79,65.64,11.71
2018,S2,2,Amber,1,18-3728_5,689.83,17,9.33,8.9,11.25,66.41,23.92,66.87,11.47
2018,S2,2,Bugle,1,18-3727_1,560.1,14.75,8.25,10.15,13.01,75.9,15.34,63.44,7.89
2018,S2,2,Bugle,1,18-3727_2,533.35,15.5,8,8.1,10.11,74.74,14.19,60.79,7.05
2018,S2,2,Bugle,1,18-3727_3,650.43,16,8.5,8.27,11.26,71.04,20.86,66.49,10.37
2018,S2,2,Bugle,1,18-3727_4,454.6,14.5,8,9.5,11.97,71.21,15.29,60.44,7.72
2018,S2,2,C4,1,18-3725_09,555.4,12.75,9.75,11.15,14.16,62.88,27.38,72.43,13.25
2018,S2,2,C4,1,18-3725_1,441.57,12.75,8.12,11.55,14.78,62.17,30.45,72.13,14.69
2018,S2,2,C4,1,18-3725_10,648.35,14.83,9,10.33,13.99,63.2,28.77,70.98,14.11
2018,S2,2,C4,1,18-3725_11,507.28,12.17,8.75,9.97,12.65,64.55,27.54,72.97,13.2
2018,S2,2,C4,1,18-3725_12,542.6,12.67,9.17,12.62,15.99,64.28,27.1,68.95,13.28
2018,S2,2,C4,1,18-3725_13,454.3,14.17,8.17,12.97,16.09,60.17,33.37,71.43,15.95
2018,S2,2,C4,1,18-3725_14,379.55,13.42,7.75,10.4,14.61,64.77,28.87,75.84,14.37
