Weight,-28.84,3.247
Length,-0.5773,0.3893E-01
Width,-0.1342,0.2004E-01
Brix,0.4098,0.3413E-01
DM,0.7817,0.5423E-01
L,-0.4528,0.5779E-01
a,0.7952,0.6630E-01
b,0.7974,0.8247E-01
Index,0.4840,0.3598E-01
