EntryID,Pop,Year,Site,Block,Plot,Gid,Fruit,Weight,Length,Width,Brix,DM,L,a,b
18-3727_Rep2_4.1,Bugle,2018,S2,2,1,18-3727_Rep2_4,1,454.6,14.5,8.0,9.5,11.9687092568448,71.2081298426928,15.2902432294594,60.4393427735261
18-3727_Rep2_1.2,Bugle,2018,S2,2,1,18-3727_Rep2_1,2,756.4,16.0,8.5,11.1,13.8173302107728,71.4258235077324,22.1620432007011,70.0210212927842
18-3727_Rep2_1.1,Bugle,2018,S2,2,1,18-3727_Rep2_1,1,363.8,13.5,8.0,9.2,12.2103078519543,80.3827731135719,8.5151167105485,56.8503641653751
18-3727_Rep2_3.1,Bugle,2018,S2,2,1,18-3727_Rep2_3,1,871.0,17.0,9.0,5.3,10.7759974866478,68.5676021755694,25.0580075549334,74.2309091056922
18-3727_Rep2_3.2,Bugle,2018,S2,2,1,18-3727_Rep2_3,2,488.4,16.0,8.0,9.0,10.2074966532798,71.3454237556198,20.6994329422956,60.7124169145171
18-3727_Rep2_3.3,Bugle,2018,S2,2,1,18-3727_Rep2_3,3,591.9,15.0,8.5,10.5,12.8007402837754,73.2153358846498,16.8356127338274,64.5222164270832
18-3727_Rep2_2.1,Bugle,2018,S2,2,1,18-3727_Rep2_2,1,619.0,16.5,8.0,9.0,10.9306260575296,75.3410801738199,15.9109529737538,62.1303244599883
18-3727_Rep2_2.2,Bugle,2018,S2,2,1,18-3727_Rep2_2,2,447.7,14.5,8.0,7.2,9.28,74.1360070127213,12.4749780489395,59.4530689692911
18-3723_Rep1_17.1,C0,2018,S2,1,1,18-3723_Rep1_17,1,698.3,14.5,9.5,11.1,11.1139829413285,68.1229362728446,24.524183849916,69.9927552447224
18-3723_Rep1_17.2,C0,2018,S2,1,1,18-3723_Rep1_17,2,626.8,15.0,10.0,12.5,16.4362519201229,68.4926011630362,22.8547278472468,75.7803009005393
18-3723_Rep1_17.3,C0,2018,S2,1,1,18-3723_Rep1_17,3,712.7,14.0,10.5,5.3,10.8192977447902,65.9157138298531,24.1394742451022,70.0528382267973
18-3723_Rep1_17.4,C0,2018,S2,1,1,18-3723_Rep1_17,4,601.4,13.5,9.0,10.0,10.5743628756181,67.0000204538586,24.5541223269733,69.8835965149808
18-3723_Rep1_17.5,C0,2018,S2,1,1,18-3723_Rep1_17,5,604.0,14.0,8.5,10.9,10.4382929642445,66.6107493939696,25.5740190269618,70.4151909610018
18-3723_Rep1_17.6,C0,2018,S2,1,1,18-3723_Rep1_17,6,619.4,13.5,9.0,10.0,11.1730205278592,68.2682608332623,22.5768961939645,67.9446350667981
18-3723_Rep1_16.1,C0,2018,S2,1,1,18-3723_Rep1_16,1,918.1,17.0,9.5,9.1,10.0669412976313,69.6167121124322,24.54443923668,69.2434366272778
18-3723_Rep1_16.2,C0,2018,S2,1,1,18-3723_Rep1_16,2,1047.2,16.0,11.0,9.5,10.6441802598839,66.4625793193184,25.9446289465116,71.0005434661408
18-3723_Rep1_16.3,C0,2018,S2,1,1,18-3723_Rep1_16,3,837.4,17.0,10.0,9.2,10.0772797527048,69.4474454333139,22.8994529765661,63.8978408063116
