Year,Site,Block,Pop,Plot,Weight,Length,Width,Brix,DM,L,a,b,Index,Cycle,Type
2017,O,1,C2,2,460.3,13.02,8.2,10.31,12.12,66.53,23.53,68.37,11.17,3,1
2017,O,1,C4,1,518.68,13.18,8.74,10.84,15.48,66.56,25.61,73.5,13.22,5,1
2017,O,1,C4,2,510.37,12.62,8.48,11.72,15.32,62.84,26.09,69.19,12.91,5,1
2017,O,2,C0,1,545.86,14.12,8.65,10.3,12.48,66.81,22.74,70.08,10.89,1,1
2017,O,2,C0,2,512.5,14.32,8.46,10.6,12.46,64.96,24.97,70.26,11.75,1,1
2017,O,2,C1,1,517.18,14.84,8.28,10.17,12.36,66.94,22.02,70.16,10.58,2,1
2017,O,2,C1,2,528.79,15.06,8.46,10.5,13.53,67.28,23.04,71.02,11.35,2,1
2017,O,2,C2,1,499.09,14.46,8.48,10.32,13.25,65.74,25.19,70.03,12.26,3,1
2017,O,2,C2,2,531.87,15.71,8.46,11.03,13.66,65.35,23.94,65.74,11.59,3,1
2017,O,2,C4,1,448.77,12.74,8.08,12.19,17.66,64.76,28.06,72.93,14.57,5,1
2017,O,2,C4,2,437.74,12.1,7.88,12.32,16.48,63.85,26.49,69.73,13.31,5,1
2017,O,3,C0,1,515.96,14.5,8.5,9.84,11.4,63.3,23.8,63.65,11.12,1,1
2017,O,3,C0,2,575.21,15.18,8.68,9.47,11.38,66.72,21.56,65.37,10.27,1,1
2017,O,3,C1,1,532.16,14.28,8.14,10.34,12.75,65.4,22.93,70.49,11.06,2,1
2017,O,3,C1,2,509.74,13.88,8.5,9.92,12.44,67.26,22.92,68.78,11.1,2,1
2017,O,3,C2,1,522.75,14.04,8.58,9.62,11.5,66.18,23.31,68.43,11.03,3,1
2017,O,3,C2,2,481.06,14.82,8.4,10.58,12.83,65.1,24.75,69.24,11.8,3,1
2017,O,3,C4,1,462.15,12.02,8.33,12,18.66,65.99,28.06,73.1,14.77,5,1
2017,O,3,C4,2,359.88,11.71,7.14,12.23,16.21,63.29,27.87,72.13,13.85,5,1
2017,O,4,C0,1,495.12,14.46,8.34,11.28,14.05,66.45,23.27,70.84,11.36,1,1
2017,O,4,C0,2,605.68,15.43,8.76,10.03,12.06,66.1,24.02,69.93,11.4,1,1
2017,O,4,C1,1,487.99,15.08,8.36,9.42,11.47,66.23,22.11,67.95,10.56,2,1
2017,O,4,C1,2,443.09,12.9,7.72,11.51,14.6,64.33,25.67,71.8,12.53,2,1
2017,O,4,C2,1,603.4,14.9,9.3,9.91,11.95,67.19,22.78,69.04,10.85,3,1
2017,O,4,C2,2,513.1,14.36,8.22,11.2,14.13,64.47,25.74,71.54,12.5,3,1
2017,O,4,C4,1,387.33,11.94,7.84,10.45,14.71,64.44,25.83,69.61,13.05,5,1
2017,O,4,C4,2,419.25,12.17,7.72,11.96,15.8,63.6,27.04,71.9,13.43,5,1
2018,S2,1,C0,1,726.86,15.5,9.5,9.41,11.8,67.06,25.08,67.53,12,1,2
2018,S2,1,C1,1,564.38,14.78,8.86,10.28,13.31,66.34,26.49,70.38,12.86,2,2
2018,S2,1,C4,1,526.08,12.94,8.75,11.27,15.07,65.66,27.99,70.68,13.83,5,2
2018,S2,2,C0,1,671.06,15.48,9.34,10.65,13.53,65.46,26.55,69.69,12.84,1,2
2018,S2,2,C1,1,748.16,15.15,9.65,9.8,12.99,67.75,25.69,67.24,12.57,2,2
2018,S2,2,C4,1,493.87,13.12,8.56,11.36,14.69,62.83,29.83,71.44,14.46,5,2
2018,S2,3,C0,1,678.12,15.29,9.4,9.57,12.05,67.5,24.68,68.62,11.86,1,2
2018,S2,3,C1,1,634.38,15.21,8.97,9.76,12.68,68.41,24.14,67.92,11.78,2,2
2018,S2,3,C4,1,474.74,12.67,8.51,11.64,15.07,64.15,28.1,71.74,13.74,5,2
