FruitID,Weight,Length,Width,Ripeness,X,Y,Z
GS3_206.01,757.7,16.5,10.5,Ripe,38.304,32.306,3.743
GS3_206.02,654.6,17,10.5,Ripe,39.341,32.673,3.468
GS3_206.03,830.4,17.5,10,Ripe,37.011,31.505,3.508
GS3_206.04,724.2,15.5,10.5,Ripe,40.403,34.014,3.54
GS3_206.05,617,16,9.5,Ripe,37.689,31.633,3.729
GS3_206.06,832.8,18,9.5,Ripe,40.785,34.69,4.077
GS3_206.07,567.5,16,9.5,Ripe,39.022,32.263,3.306
GS3_206.08,582.4,15.5,9,Ripe,37.53,31.832,3.575
GS3_206.09,517,17,8.5,Ripe,39.95,34.113,4.284
GS3_206.10,549.3,17,9,Ripe,38.217,32.2,3.633
GS3_182.01,636,16,9.5,half,39.443,34.116,4.487
GS3_182.02,802.9,15,9.5,half,38.985,33.015,4.182
GS3_182.03,566,16.5,9,half,37.613,32.445,4.283
GS3_182.04,748.6,16.5,9.5,half,40.277,34.203,4.608
GS3_182.05,499,15,9,Quarter,38.016,32.748,4.494
GS3_182.06,639.7,18,9,half,39.214,33.67,4.516
GS3_182.07,956,16.5,9.5,Quarter,41.263,35.098,3.98
GS3_182.08,630.7,15.5,9,Quarter,39.727,34.4,4.693
