FruitID,DM,DM_date
GS1_1.01,17.8723404255319,4
GS1_1.02,15.46875,4
GS1_1.03,20.3533568904594,4
GS1_1.04,15.9604519774011,4
GS1_1.05,22.6720647773279,4
GS1_1.06,17.5591531755915,4
GS1_10.01,15.2788388082506,2
GS1_10.02,13.741935483871,2
GS1_10.03,12.6288659793814,2
GS1_10.04,12.3234916559692,2
GS1_10.05,13.6629798308393,2
GS1_10.06,11.3753213367609,2
GS1_100.01,13.2978723404255,10
GS1_100.02,12.3065015479876,10
GS1_100.03,13.8966480446927,10
GS1_100.04,15.2014652014652,10
GS1_100.05,13.730255164034,10
GS1_100.06,12.7272727272727,10
GS1_101.01,16.5184243964422,9
GS1_101.02,16.1103047895501,9
GS1_101.03,15.3846153846154,9
GS1_101.04,16.764514024788,9
GS1_101.05,15.9943382873319,9
GS1_101.06,15.1034482758621,9
GS1_102.01,14.7807637906648,2
GS1_102.02,16.412213740458,2
GS1_102.03,14.6187775677379,2
GS1_102.04,20.8191126279863,2
GS1_102.05,14.8883374689826,2
GS1_102.06,16.6555183946488,2
GS1_103.01,18.1992337164751,4
GS1_103.02,13.324080499653,4
GS1_103.03,14.2153413089374,4
GS1_103.04,15.6375838926174,4
GS1_103.05,14.8906139731828,4
GS1_103.06,15.3261557948068,4
GS1_104.01,16.8016194331984,9
GS1_104.02,14.680710994075,9
GS1_104.03,12.4129195693477,9
GS1_104.04,13.7029955385596,9
GS1_104.05,16.6551485832757,9
GS1_104.06,11.6429495472186,9
GS1_105.01,16.1179698216735,1
GS1_105.02,12.1883656509695,1
GS1_105.03,16.7464114832536,1
GS1_105.04,15.5161078238001,1
GS1_105.05,16.3448275862069,1
GS1_105.06,14.1963727329581,1
GS1_106.01,13.6427566807314,4
GS1_106.02,13.0347593582888,4
GS1_106.03,12.2762148337596,4
GS1_106.04,11.9237861094038,4
GS1_107.01,13.7362637362637,2
GS1_107.02,11.9242902208202,2
GS1_107.03,10.627719080174,2
GS1_107.04,13.6194029850746,2
GS1_107.05,11.8339100346021,2
GS1_107.06,11.3268608414239,2
GS1_108.01,14.9152542372881,4
GS1_108.02,13.4707903780069,4
GS1_108.03,15.2287581699346,4
GS1_108.04,15.6154317207593,4
GS1_108.05,14.8097826086957,4
GS1_108.06,14.2953020134228,4
GS1_109.01,16.4112388250319,12
GS1_109.02,13.2450331125828,12
GS1_109.03,12.3251165889407,12
GS1_109.04,13.046357615894,12
GS1_109.05,14.626075446724,12
GS1_109.06,11.8871725990598,12
GS1_11.01,15.6037991858887,8
GS1_11.02,15.4806491885144,8
GS1_11.03,14.7574123989218,8
GS1_11.04,17.0998632010944,8
GS1_11.05,15.1797603195739,8
GS1_11.06,16.3649025069638,8
GS1_110.01,13.2793017456359,9
GS1_110.02,14.1268803139307,9
GS1_110.03,15.7790927021696,9
GS1_110.04,10.4262295081967,9
GS1_110.05,12.6174496644295,9
GS1_110.06,16.1558109833972,9
GS1_111.01,13.1228070175439,5
GS1_111.02,13.3995037220844,5
GS1_111.03,12.5566343042071,5
GS1_111.04,11.9641714651312,5
GS1_111.05,14.4832126398947,5
GS1_111.06,13.9645776566757,5
GS1_112.01,13.7909709338281,1
GS1_112.02,13.5135135135135,1
GS1_112.03,13.1561892417369,1
GS1_112.04,14.8765432098765,1
GS1_112.05,13.8297872340426,1
GS1_112.06,13.0847029077118,1
GS1_113.01,15.9903089036947,2
GS1_113.02,16.0054719562244,2
GS1_113.03,16.0073037127206,2
GS1_113.04,15.3121319199058,2
GS1_113.05,16.3291966035271,2
GS1_113.06,15.8895705521472,2
GS1_114.01,14.4010767160162,12
GS1_114.02,14.2118863049096,12
GS1_114.03,14.6825396825397,12
GS1_114.04,14.3041237113402,12
GS1_114.05,14.6830530401035,12
GS1_114.06,14.0093395597065,12
GS1_115.01,14.0052356020942,3
GS1_115.02,13.1614654002714,3
GS1_115.03,12.9931972789116,3
GS1_116.01,16.1434977578475,8
GS1_116.02,17.7922077922078,8
GS1_116.03,17.3974540311174,8
GS1_116.04,14.9025069637883,8
GS1_116.05,16.2775616083009,8
GS1_116.06,11.7647058823529,8
GS1_117.01,15.2749490835031,2
GS1_117.02,15.4639175257732,2
GS1_117.03,13.9401654996817,2
GS1_117.04,13.6671177266576,2
GS1_117.05,14.8502994011976,2
GS1_117.06,14.7223955084217,2
GS1_118.01,13.3826496301278,7
GS1_118.02,19.720989220038,7
GS1_118.03,16.0080375083724,7
GS1_118.04,13.3608815426997,7
GS1_118.05,16.3369495851946,7
GS1_118.06,13.1826741996234,7
GS1_119.01,17.1750663129973,7
GS1_119.02,15.4205607476636,7
GS1_119.03,13.5205747877204,7
GS1_119.04,15.4285714285714,7
GS1_119.05,17.5513092710545,7
GS1_119.06,14.4689950106914,7
GS1_12.01,19.1335740072202,3
GS1_12.02,18.5616438356164,3
GS1_12.03,15.5089820359281,3
GS1_12.04,9.87306064880113,3
GS1_12.05,17.8816199376947,3
GS1_12.06,15.974212034384,3
GS1_120.01,15.0919467343056,10
GS1_120.03,14.2147734326505,10
GS1_120.04,13.6059479553903,10
GS1_120.05,13.3720930232558,10
GS1_120.06,14.9090909090909,10
GS1_121.01,14.1922825376063,12
GS1_121.02,13.1716906946265,12
GS1_121.03,13.1962864721485,12
GS1_121.04,14.9761742682097,12
GS1_121.05,15.1456310679612,12
GS1_121.06,11.7724867724868,12
GS1_122.01,13.7908061292472,6
GS1_122.02,18.9083820662768,6
GS1_122.03,18.9579409918393,6
GS1_122.04,20.7816377171216,6
GS1_122.05,12.6479750778816,6
GS1_122.06,14.0992167101828,6
GS1_123.01,15.2297042164884,12
GS1_123.02,13.1767775603392,12
GS1_123.03,13.0322580645161,12
GS1_123.04,14.9155033063924,12
GS1_123.05,14.0779907468605,12
GS1_123.06,14.6825396825397,12
GS1_124.01,11.960542540074,8
GS1_124.02,14.0425531914894,8
GS1_124.03,11.9626168224299,8
GS1_124.04,11.7952041477641,8
GS1_124.05,11.0635696821516,8
GS1_125.01,12.6226291693918,1
GS1_125.02,13.6486486486486,1
GS1_125.03,14.3229166666667,1
GS1_125.04,16.5656565656566,1
GS1_125.05,19.1706322229776,1
GS1_125.06,13.8574283810793,1
GS1_126.01,11.3145846958797,1
GS1_126.02,14.8427672955975,1
GS1_126.03,18.0381830151415,1
GS1_126.04,12.5686813186813,1
GS1_126.05,21.6465578424414,1
GS1_126.06,14.1737032569361,1
GS1_127.01,17.5507531106745,9
GS1_127.02,12.9843643779742,9
GS1_127.03,15.8428390367554,9
GS1_127.04,14.041095890411,9
GS1_127.05,15.4199475065617,9
GS1_127.06,19.2513368983957,9
GS1_128.01,12.565445026178,12
GS1_128.02,12.5161290322581,12
GS1_128.03,17.470664928292,12
GS1_128.04,12.9834254143646,12
GS1_128.05,12.5520110957004,12
GS1_128.06,14.101646385111,12
GS1_129.01,14.6728354263054,9
GS1_129.02,14.5732130464955,9
GS1_129.03,13.2140399174123,9
GS1_129.04,14.0695915279879,9
GS1_129.05,12.8240109140518,9
GS1_129.06,13.1210191082803,9
GS1_13.01,16.3554410817772,12
GS1_13.02,15.6471345782357,12
GS1_13.03,17.9436804191225,12
GS1_13.04,16.2094763092269,12
GS1_13.05,16.0052049446975,12
GS1_130.01,15.5283505154639,12
GS1_130.02,13.8419986495611,12
GS1_130.03,19.5592286501377,12
GS1_130.04,15.9105431309904,12
GS1_130.05,20.2979515828678,12
GS1_130.06,15.8860759493671,12
GS1_131.01,15.564738292011,2
GS1_131.02,16.8241965973535,2
GS1_131.03,10.9022556390977,2
GS1_131.04,12.992125984252,2
GS1_131.05,14.5631067961165,2
GS1_131.06,11.7063492063492,2
GS1_132.01,12.7906976744186,8
GS1_132.02,16.6112956810631,8
GS1_132.03,18.2148040638607,8
GS1_132.04,15.4371584699454,8
GS1_132.05,19.2605843768634,8
GS1_132.06,13.9936102236422,8
GS1_133.01,14.423740510697,5
GS1_133.02,17.1201061712011,5
GS1_133.03,16.7763157894737,5
GS1_133.04,16.0702667534157,5
GS1_133.05,15.6785243741765,5
GS1_133.06,14.0520896426408,5
GS1_134.01,16.3239074550129,5
GS1_134.02,16.2232316677482,5
GS1_134.03,18.7309334960342,5
GS1_134.04,19.1176470588235,5
GS1_134.05,15.1327980234713,5
GS1_134.06,11.9174434087883,5
GS1_135.01,17.6056338028169,1
GS1_135.02,15.995115995116,1
GS1_135.03,14.5527369826435,1
GS1_135.04,13.7191157347204,1
