EntryID,DM
17-187_1-1B.04,12.5163826998689
17-187_1-1B.12,16.2271805273834
17-187_1-1B.15,15.6765676567657
17-187_1-1B.11,14.8692810457516
17-187_1-1B.07,12.8294036061026
17-187_1-1B.08,16.5718349928876
17-187_1-1B.09,10.6591865357644
17-187_1-1B.13,12.7719962157048
17-187_1-1B.10,11.7043121149897
17-187_1-1B.14,14.460596786534
17-187_1-1B.01,11.3784135240572
17-187_1-1B.06,13.2231404958678
17-184_1B.03,9.98439937597504
17-187_1-1B.05,14.2712550607287
17-187_1-1B.03,16.290212183436
17-184_1B.02,13.2048536759458
17-184_1B.04,14.0861466821886
17-187_1-1B.02,12.0652173913044
17-184_1B.01,16.7318982387476
17-184_1B.05,12.2659176029963
17-187_1-1B.16,16.6187050359712
17-187_1-1B.17,18.3044315992293
17-187_1-1B.18,11.6370808678501
17-187_1-1B.19,14.0796703296703
17-187_1-1B.23,14.6611341632089
17-180_1-2B.07,11.0880110880111
17-180_1-2B.10,13.6604774535809
17-180_1-2B.06,14.7854785478548
17-187_1-1B.21,13.7377963737796
17-187_1-1B.22,11.9755911517925
17-187_1-1B.20,16.3838120104439
17-187_1-1B.24,15.3614457831325
17-180_1-2B.11,12.027972027972
17-180_1-2B.04,11.4487632508834
17-180_1-2B.01,13.347022587269
17-180_1-2B.08,10.7289107289107
17-180_1-2B.09,14.8631029986962
17-180_1-2B.21,16.5333333333333
17-180_1-2B.25,13.8221933809215
17-180_1-2B.14,11.71875
17-180_1-2B.05,11.7842876165113
17-180_1-2B.24,11.1720356408499
17-180_1-2B.03,12
17-180_1-2B.23,9.2656142759094
17-180_1-2B.22,13.7632978723404
17-180_1-2B.13,18.4175531914894
17-180_1-2B.02,11.1488783140721
17-180_1-2B.20,13.3757961783439
17-180_1-2B.12,14.7286821705426
17-180_1-2B.15,20.6102117061021
17-180_1-2B.16,11.6955017301038
17-180_1-2B.18,14.484126984127
17-180_1-2B.19,15.112540192926
17-180_1-2B.17,13.2127955493741
17-181_1-2B.03,12.3251165889407
17-181_1-2B.01,18.1290322580645
17-181_1-2B.07,13.3643617021277
17-181_1-2B.13,14.5081387119604
17-181_1-2B.04,14.8936170212766
